Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
299,60,85,1335,FALSE,1.5,0,15/02/2026 13:04,FALSE,0,1,93,33,2520,,1.4,11,15/02/2026 13:46,FALSE,0,1,340DB72E,93,2,14,GF,60/85,982,982,Perdix AI
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar,
740,22.1,0,3,0.69,0.22,0,0,9,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
750,22.4,0,3,0.7,0.22,0,0,9,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
760,21.9,0,3,0.69,0.22,0,0,9,1,0,7,FALSE,TRUE,0,0,0,0,200,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
770,21,0,3,0.67,0.22,0,0,10,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
780,20.4,0,3,0.66,0.22,0,0,11,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
790,20.1,0,2,0.65,0.22,0,0,12,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
800,19.8,0,2,0.64,0.22,0,0,13,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
810,19.2,0,2,0.63,0.22,0,0,15,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
820,18.1,0,2,0.61,0.22,0,0,20,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
830,18,0,2,0.6,0.22,0,0,20,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
840,18.3,0,2,0.61,0.22,0,0,19,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
850,19,0,2,0.63,0.22,0,0,16,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
860,18.8,0,2,0.62,0.22,0,0,16,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
870,19,0,2,1.11,0.39,0,0,70,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
880,18.3,0,2,1.08,0.39,0,0,69,1,0,7,FALSE,TRUE,0,0,0,0,199,1.45,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
890,17.8,0,2,1.07,0.39,0,0,81,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
900,17.3,0,2,1.04,0.39,0,0,99,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
910,18,0,2,1.08,0.39,0,0,99,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
920,17.6,0,2,1.05,0.39,0,0,99,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
930,17,0,2,1.03,0.39,0,0,99,1,0,7,FALSE,TRUE,0,0,0,0,200,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
940,18.7,0,2,1.1,0.39,0,0,99,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
950,18.8,0,2,1.1,0.39,0,0,70,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
960,19,0,2,1.11,0.39,0,0,67,1,0,7,FALSE,TRUE,0,0,0,0,200,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
970,19.1,0,2,1.11,0.39,0,0,61,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
980,19.2,0,2,1.12,0.39,0,0,61,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
990,19,0,2,1.11,0.39,0,0,69,1,0,7,FALSE,TRUE,0,0,0,0,200,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1000,18.9,0,2,1.11,0.39,0,0,63,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1010,18.8,0,2,1.1,0.39,0,0,68,1,0,7,FALSE,TRUE,0,0,0,0,200,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1020,18.8,0,2,1.1,0.39,0,0,68,1,0,7,FALSE,TRUE,0,0,0,0,200,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1030,18,0,2,1.07,0.39,0,0,82,1,0,7,FALSE,TRUE,0,0,0,0,200,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1040,16.7,0,2,1.02,0.39,0,0,99,1,0,7,FALSE,TRUE,0,0,0,0,200,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1050,16.8,0,2,1.02,0.39,0,0,99,1,0,7,FALSE,TRUE,0,0,0,0,200,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1060,17.2,0,2,1.04,0.39,0,0,99,1,0,7,FALSE,TRUE,0,0,0,0,200,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1070,17.4,0,2,1.05,0.39,0,0,99,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1080,17.1,0,2,1.04,0.39,0,0,99,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1090,17.3,0,2,1.04,0.39,0,0,99,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1100,17.7,0,2,1.06,0.39,0,0,98,1,0,7,FALSE,TRUE,0,0,0,0,200,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1110,18,0,2,1.07,0.39,0,0,93,1,0,7,FALSE,TRUE,0,0,0,0,199,1.45,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1120,18.3,0,2,1.08,0.39,0,0,79,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1130,18.6,0,2,1.1,0.39,0,0,69,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1140,18.4,0,2,1.09,0.39,0,0,74,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1150,18.9,0,2,1.11,0.39,0,0,70,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1160,19.2,0,2,1.12,0.39,0,0,59,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1170,18.7,0,2,1.1,0.39,0,0,61,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1180,18.5,0,2,1.09,0.39,0,0,69,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1190,17.8,0,2,1.06,0.39,0,0,86,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1200,17.9,0,2,1.07,0.39,0,0,86,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1210,16.6,0,2,1.02,0.39,0,0,99,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1220,16.6,0,2,1.02,0.39,0,0,99,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1230,17,0,2,1.03,0.39,0,0,99,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1240,17.6,0,2,1.05,0.39,0,0,99,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1250,18.1,0,2,1.08,0.39,0,0,81,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
1260,18.4,0,2,1.09,0.39,0,0,73,1,0,7,FALSE,TRUE,0,0,0,0,199,1.46,AI is off,AI is off,AI is off,AI is off,Not paired,AI is off,0,0,0,
